feature_name,rule,rate_2008,rate_2009,rate_2010,rate_2011,rate_2012,rate_2013,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018,rate_2019,rate_2021,rate_2022,rate_2023,rate_2024,rate_2025,rate_2026,target_window_rate,target_window_years,threshold,cut
adj_off_eff,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
adj_def_eff,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
adj_tempo,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
efg_pct,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
to_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
orb_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
ft_rate,non_zero,1.0,1.0,0.9921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
opp_efg_pct,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
opp_to_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
drb_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
opp_ft_rate,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.8,KEEP
total_rapm,non_zero,0.9008,0.9573,0.8898,0.937,0.9344,0.8871,0.9008,0.8741,0.8582,0.9091,0.8855,0.8906,0.9339,0.9187,0.9032,0.8931,0.8657,0.8828,0.8955,14,0.8,KEEP
top5_rapm,non_zero,0.9008,0.9573,0.8898,0.937,0.9344,0.8871,0.8931,0.8741,0.8507,0.9091,0.8855,0.8906,0.9339,0.9187,0.9032,0.8931,0.8657,0.8828,0.8944,14,0.8,KEEP
bench_rapm,non_zero,0.8264,0.9231,0.811,0.8425,0.877,0.7984,0.8397,0.7926,0.8209,0.9008,0.8626,0.8594,0.8099,0.8537,0.879,0.8626,0.8284,0.8594,0.846,14,0.8,KEEP
total_warp,non_zero,0.9008,0.9573,0.8898,0.937,0.9344,0.8871,0.8931,0.8741,0.8507,0.9091,0.8855,0.8906,0.9339,0.9106,0.9032,0.8931,0.8582,0.875,0.8928,14,0.8,KEEP
roster_continuity,non_zero,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979,14,0.8,KEEP
transfer_impact,non_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8,CUT
