
ACC,116.81650560293,101.76961294195,0.83001976611141,340–230,340,570,53.1,50.4,34.3,32.5,15.6,16.6,31.6,29.6,68.3,53.6,50.8,34.9,33.2,10.7,9.7,53.4,51.9,42.3,41.7,68.3,,,,2026,,,,-0.45915669485678,72,72.3
BE,115.76870835841,101.38529239418,0.82137074495574,199–153,199,352,51.7,50.2,34,32.6,16,17.1,31.9,30.9,68.7,52.1,50.2,34,33.6,10.2,9.6,57.5,55.2,38.7,37.2,68.5,,,,2026,,,,-0.97259605396913,72.2,72.1
Pat,103.41200452855,114.82353937584,0.23080563319611,131–172,131,303,51.7,53.3,31.1,32.7,16.4,16,26.8,28.7,66.3,52.2,54.1,33.9,34.7,7.3,8.8,53.6,53.6,41.8,40.3,67.2,,,,2026,,,,-13.527963748805,73.8,73.9
Sum,106.73748016991,113.56171272322,0.32900216555896,115–145,115,260,51.9,53.8,34.5,34.2,15.8,16,28.2,30,69.4,52.6,54.7,33.9,35,7.6,8.8,48,50.4,41,40.2,68.8,,,,2026,,,,-11.419374832232,72,72
BSth,104.67015036814,111.96265311373,0.31549764227471,118–142,118,260,51,51.7,38.2,38.7,17.4,17,30.6,30.8,70.1,51.6,52.1,33.3,34,9.7,9.8,48,48.6,39.7,38.7,69.4,,,,2026,,,,-11.508905202888,70.6,70.7
MWC,112.92712652907,104.89452930383,0.7002638337007,205–174,205,379,52.3,51.8,38.6,37.7,17,17.5,30.3,29.5,67.9,52.8,52.6,34.4,33.7,9,9.1,53.3,52.1,39.8,41,68,,,,2026,,,,-5.2258997125087,73.3,72.6
BW,106.35776986523,108.23451274205,0.44988028040605,165–173,165,338,51,51.3,36.5,36.3,18,17.4,28.7,28.9,72,51.8,51.7,33.2,33.7,9.3,9.2,52.6,52.7,39,39.3,70.5,,,,2026,,,,-10.181623069627,73,72.9
B12,118.59616358925,100.40031551448,0.87162751237406,314–199,314,513,52.9,50.3,33.5,31.6,15.9,17,32.7,30.2,69.3,52.9,50.1,35.3,33.7,10.4,9.1,54.4,52.6,38.5,38.7,68.8,,,,2026,,,,1.5631838354742,73,72
B10,119.71112804548,100.85952234336,0.8776710648843,340–238,340,578,53.4,50.9,34.1,31,15.3,16.1,31.4,29.5,66.6,54.6,51.5,34.5,33.4,10,9.1,58.1,55.8,41.8,41.8,67.3,,,,2026,,,,1.4058837100725,75.4,74.6
CAA,106.73985683939,109.89326302523,0.41706789820196,202–194,202,396,50.4,50.7,36,34.9,16.7,16.5,31.6,30.8,67.5,50.7,51.1,33.3,33.4,9.4,9.6,51.4,51.7,39,39,67.9,,,,2026,,,,-9.3262571782006,72,71.9
A10,110.47129669229,105.81287256773,0.6213920110106,237–198,237,435,51.9,50.8,36.2,34.2,17.1,17.3,31.1,29.7,67.4,52.4,50.5,34.1,34.1,10.3,10.4,55.4,54.6,41.5,41.2,67.8,,,,2026,,,,-6.1831885239386,72.2,71.7
SWAC,100.47760455176,113.33678448971,0.20021797864929,137–225,137,362,48.5,52.2,38.7,42,18.9,17.8,29.3,32.8,70.3,48.1,52.4,32.8,34.5,9.3,9.7,49.4,54,34.7,37.2,69.4,,,,2026,,,,-13.688040797112,72.4,73.5
MEAC,96.368493659183,116.1928360437,0.10420732953056,77–146,77,223,47.2,52.2,39.2,43.7,20.1,18.8,31.6,34.5,68.1,46.9,53.1,32,33.8,9.1,10.6,52.5,56.5,33,37.9,68.3,,,,2026,,,,-14.36990164908,70.6,72.1
SEC,121.13356740899,101.93812037568,0.87911436722287,306–208,306,514,53.4,50.4,38.1,35.6,14.9,15.6,34,31.2,70.2,54.7,50.5,34.3,33.4,11.1,9.5,52.1,50.3,40,38.7,69.4,,,,2026,,,,1.545642186476,73.9,72.9
Amer,109.32595045514,107.56272006878,0.5466108259031,201–197,201,398,49.5,50.1,37.2,36.3,16.2,16.5,33,32.2,68.4,50,50.3,32.5,33.2,11,10.3,49.8,50.6,38.5,38.8,68.4,,,,2026,,,,-8.2628405144582,72.2,71.9
BSky,108.03975443529,110.93977224787,0.42442985258602,132–161,132,293,52.3,52.7,35.4,36.2,16.2,15.7,28,28.5,69,52.6,53.5,34.7,34.3,7.8,8.5,48.5,48.3,39.1,38.1,68.5,,,,2026,,,,-10.701136105031,74.1,74.6
AE,99.86194590617,114.84781321479,0.16687748750261,103–161,103,264,50.1,51.9,32.8,33.2,17.2,15.5,26.4,29.1,66,51.2,52.3,32.2,34.2,8.5,9,47.9,49.6,39.1,38.3,67,,,,2026,,,,-14.360483330859,70.2,71.3
WAC,105.43217039211,106.65734019203,0.46683259141042,105–103,105,208,50.1,50.9,37.6,39.2,19.7,19.3,32.6,31.6,68.7,50.6,51.2,32.8,33.5,9.2,9.6,49.7,49.9,32.4,33,68.5,,,,2026,,,,-6.8168467447703,71.6,71.9
NEC,100.11524303183,114.15676569418,0.18103026244448,120–174,120,294,49.6,51.7,31.5,34.5,17.6,16.7,28.5,29.9,66.2,49.3,51.5,33.4,34.7,8.5,8.9,51.7,53.7,36.5,38.2,67.1,,,,2026,,,,-15.307601742893,71.5,72.1
CUSA,108.01648567236,108.98131468519,0.47445608442719,173–181,173,354,50.9,50.8,37,38.5,16.6,16.6,30.8,31,67.5,50.3,50.3,34.5,34.3,10.3,10.1,52.1,52.5,40.2,40.6,67.7,,,,2026,,,,-11.705516843942,71,72.4
WCC,110.99464818482,105.16401526998,0.65034345564671,199–175,199,374,52,50.7,32.7,32.9,17.3,17.1,30.8,30.1,68.2,52.3,50.7,34.4,33.7,9.4,8.7,56.4,55.2,40,39.6,68.2,,,,2026,,,,-6.7732417210437,74,73.5
Slnd,105.48701972859,109.36975623884,0.39754983614569,164–195,164,359,50,51.2,35.8,38.3,17.9,18.1,31.1,32,66.5,50.1,51.5,33.2,33.7,9.4,9.6,53,54.4,38.1,38.1,67.2,,,,2026,,,,-10.64320283765,70.8,71.5
MAAC,102.5647260626,111.36905342566,0.27947096297929,192–202,192,394,49,50.1,31.5,32.3,17.2,17.1,30.6,31.9,66.3,48.7,50.1,33,33.4,9.4,9.9,53.3,54.3,38.9,39,67.3,,,,2026,,,,-11.735765387644,73.8,73.4
ASun,106.90006467775,115.26671027782,0.29596773136724,156–202,156,358,53.1,54.8,32.3,34.3,16.2,15.7,29.2,31.1,68.7,53.6,55.9,35,35.5,7.9,8.9,52.7,53.4,42.8,42.3,68.4,,,,2026,,,,-12.135458704937,72.9,72.5
OVC,99.678932434719,112.41828903235,0.20050655895199,141–178,141,319,48,49.9,35.3,36.5,18.2,17.6,31.9,32.7,68.1,48.2,49.9,31.8,33.2,9.6,9.8,47.6,50.1,34.6,36.3,68.1,,,,2026,,,,-12.760442608597,70.4,71.4
MAC,108.02390822629,110.44708352455,0.43656482448031,187–190,187,377,52.5,52.8,34.9,35.5,16.8,16.8,29.7,30.2,69.5,52.7,53.3,34.7,34.7,8.6,9.4,52.5,53.1,39,39.9,69,,,,2026,,,,-10.279799340112,72.2,72.4
MVC,108.6603849266,106.37428743219,0.56082945797744,177–164,177,341,52.1,50.9,32.9,32.5,16.7,17,28.8,29.1,67.9,52.7,51.3,34.2,33.6,9.4,9,53.6,52.3,40.4,39.8,68.1,,,,2026,,,,-7.752022212167,71.2,71.3
SC,106.11320909884,115.22324422959,0.27944885479426,136–160,136,296,52.4,53.5,35,34.3,15.1,14.9,28.6,29.9,67.6,53.3,53.7,34.2,35.6,8.1,9,50.6,51.1,44.2,43.2,67.8,,,,2026,,,,-12.129354709236,71.5,72.5
SB,105.43631700077,110.99731133287,0.3563855669686,208–217,208,425,50.1,50.7,36.3,36.8,16.4,16.1,30.2,30.9,68.3,50.4,51,33.2,33.5,9.7,9.9,48.4,49.7,40.5,40.5,68.3,,,,2026,,,,-11.115436473002,72.4,71.9
Horz,108.97271187155,112.65108318425,0.40569898445442,153–174,153,327,53,54,33.4,35.3,16.4,16.4,30.6,31.8,69.4,53.3,54.6,35,35.5,8.9,9.4,54.2,54.6,40.3,39.4,68.9,,,,2026,,,,-10.670338840387,73.8,74
