home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arizona,oregon,-1035.0,735.0,12.5,0.8839,0.1161,sbro,2015-03-14
arkansas,georgia,-160.0,140.0,3.0,0.5963,0.4037,sbro,2015-03-14
villanova,xavier,-370.0,300.0,7.5,0.759,0.241,sbro,2015-03-14
wisconsin,purdue,-650.0,500.0,9.5,0.8387,0.1613,sbro,2015-03-14
kentucky,arkansas,-1450.0,950.0,13.5,0.9076,0.0924,sbro,2015-03-15
brigham_young,mississippi,-175.0,155.0,3.0,0.6187,0.3813,sbro,2015-03-17
manhattan,hampton,-490.0,390.0,9.0,0.8027,0.1973,sbro,2015-03-17
arkansas,wofford,-340.0,280.0,7.0,0.746,0.254,sbro,2015-03-19
butler,texas,130.0,-150.0,123.5,0.4202,0.5798,sbro,2015-03-19
cincinnati,purdue,-135.0,115.0,2.0,0.5526,0.4474,sbro,2015-03-19
kentucky,hampton,-44560.0,14560.0,35.0,0.9932,0.0068,sbro,2015-03-19
southern_methodist,ucla,-185.0,160.0,4.0,0.6279,0.3721,sbro,2015-03-19
villanova,lafayette,-8010.0,3510.0,22.0,0.9727,0.0273,sbro,2015-03-19
xavier,mississippi,-140.0,120.0,2.0,0.562,0.438,sbro,2015-03-19
iowa,davidson,-140.0,120.0,2.5,0.562,0.438,sbro,2015-03-20
maryland,valparaiso,-230.0,195.0,5.0,0.6728,0.3272,sbro,2015-03-20
providence,dayton,-160.0,140.0,3.0,0.5963,0.4037,sbro,2015-03-20
virginia,belmont,-2305.0,1455.0,16.5,0.9371,0.0629,sbro,2015-03-20
kentucky,cincinnati,-2075.0,1425.0,15.5,0.9357,0.0643,sbro,2015-03-21
ucla,uab,-230.0,195.0,5.5,0.6728,0.3272,sbro,2015-03-21
gonzaga,iowa,-295.0,245.0,6.0,0.7204,0.2796,sbro,2015-03-22
oklahoma,dayton,-205.0,180.0,4.0,0.653,0.347,sbro,2015-03-22
wisconsin,oregon,-1080.0,780.0,12.5,0.8896,0.1104,sbro,2015-03-22
