team,championship_pct,source,date
Duke,24.4,ESPN_BPI,2026-03-19
Michigan,15.3,ESPN_BPI,2026-03-19
Arizona,14.0,ESPN_BPI,2026-03-19
Houston,9.4,ESPN_BPI,2026-03-19
Florida,7.7,ESPN_BPI,2026-03-19
Iowa State,5.9,ESPN_BPI,2026-03-19
Purdue,4.3,ESPN_BPI,2026-03-19
Illinois,4.2,ESPN_BPI,2026-03-19
Gonzaga,3.7,ESPN_BPI,2026-03-19
UConn,2.5,ESPN_BPI,2026-03-19
Michigan State,1.3,ESPN_BPI,2026-03-19
Tennessee,1.0,ESPN_BPI,2026-03-19
Louisville,0.9,ESPN_BPI,2026-03-19
Alabama,0.9,ESPN_BPI,2026-03-19
Arkansas,0.6,ESPN_BPI,2026-03-19
Vanderbilt,0.6,ESPN_BPI,2026-03-19
Nebraska,0.6,ESPN_BPI,2026-03-19
Virginia,0.5,ESPN_BPI,2026-03-19
St. John's,0.5,ESPN_BPI,2026-03-19
Kansas,0.3,ESPN_BPI,2026-03-19
Texas Tech,0.2,ESPN_BPI,2026-03-19
Kentucky,0.2,ESPN_BPI,2026-03-19
BYU,0.2,ESPN_BPI,2026-03-19
Wisconsin,0.1,ESPN_BPI,2026-03-19
UCLA,0.1,ESPN_BPI,2026-03-19
Ohio State,0.05,ESPN_BPI,2026-03-19
North Carolina,0.05,ESPN_BPI,2026-03-19
Clemson,0.05,ESPN_BPI,2026-03-19
Iowa,0.05,ESPN_BPI,2026-03-19
Saint Mary's,0.05,ESPN_BPI,2026-03-19
Miami,0.05,ESPN_BPI,2026-03-19
Utah State,0.05,ESPN_BPI,2026-03-19
SMU,0.05,ESPN_BPI,2026-03-19
