home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
american,colgate,-300.0,250.0,6.5,0.7241,0.2759,sbro,2008-03-14
arkansas,vanderbilt,-125.0,105.0,1.5,0.5325,0.4675,sbro,2008-03-14
brigham_young,sandiegostate,-320.0,270.0,6.5,0.7382,0.2618,sbro,2008-03-14
calsantabarb,calirvine,-170.0,150.0,3.5,0.6115,0.3885,sbro,2008-03-14
clemson,bostoncollege,-500.0,400.0,9.0,0.8065,0.1935,sbro,2008-03-14
csnorthridge,csfullerton,150.0,-170.0,157.5,0.3885,0.6115,sbro,2008-03-14
duke,georgiatech,-800.0,600.0,11.0,0.8615,0.1385,sbro,2008-03-14
georgetown,westvirginia,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-14
indianau,minnesotau,-320.0,270.0,6.5,0.7382,0.2618,sbro,2008-03-14
kansas,nebraska,-3000.0,1500.0,14.5,0.9393,0.0607,sbro,2008-03-14
kansasstate,texasa_m,-125.0,105.0,1.5,0.5325,0.4675,sbro,2008-03-14
kentstate,miamiohio,-175.0,155.0,3.5,0.6187,0.3813,sbro,2008-03-14
marquette,pittsburgh,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-14
memphisu,somississippi,-6000.0,3000.0,19.5,0.9682,0.0318,sbro,2008-03-14
michiganstate,ohiostate,-205.0,175.0,4.5,0.6489,0.3511,sbro,2008-03-14
mississippist,alabama,-265.0,225.0,6.0,0.7023,0.2977,sbro,2008-03-14
nevada_las_vegas,utahu,-215.0,185.0,4.5,0.6605,0.3395,sbro,2008-03-14
newmexicostate,nevada,-245.0,205.0,5.5,0.6841,0.3159,sbro,2008-03-14
northcarolina,floridastate,-1800.0,1100.0,13.5,0.9191,0.0809,sbro,2008-03-14
oklahoma,colorado,-450.0,370.0,9.0,0.7936,0.2064,sbro,2008-03-14
purdue,illinois,-235.0,195.0,5.0,0.6742,0.3258,sbro,2008-03-14
stanford,washingtonstate,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-14
temple,nccharlotte,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-14
tennessee,southcarolina,-1200.0,800.0,13.0,0.8926,0.1074,sbro,2008-03-14
texas,oklahomastate,-325.0,275.0,7.0,0.7414,0.2586,sbro,2008-03-14
ucla,southern_california,-500.0,400.0,8.0,0.8065,0.1935,sbro,2008-03-14
utahstate,boisestate,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-14
utep,tulsa,115.0,-135.0,139.5,0.4474,0.5526,sbro,2008-03-14
virginiatech,miamiflorida,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2008-03-14
westernmichigan,akron,110.0,-130.0,128.0,0.4573,0.5427,sbro,2008-03-14
wisconsin,michigan,-1200.0,800.0,13.0,0.8926,0.1074,sbro,2008-03-14
xavier,st_josephs,-240.0,200.0,5.5,0.6792,0.3208,sbro,2008-03-14
csfullerton,calirvine,-260.0,220.0,6.0,0.698,0.302,sbro,2008-03-15
duke,clemson,-200.0,170.0,4.0,0.6429,0.3571,sbro,2008-03-15
georgetown,pittsburgh,-250.0,210.0,5.0,0.6889,0.3111,sbro,2008-03-15
kansas,texasa_m,-825.0,625.0,11.0,0.8661,0.1339,sbro,2008-03-15
kentstate,akron,-140.0,120.0,2.5,0.562,0.438,sbro,2008-03-15
kentucky,georgia,-170.0,150.0,3.5,0.6115,0.3885,sbro,2008-03-15
mdbaltimoreco,hartford,-450.0,370.0,9.0,0.7936,0.2064,sbro,2008-03-15
memphisu,tulsa,-4000.0,2000.0,17.5,0.9535,0.0465,sbro,2008-03-15
minnesotau,illinois,115.0,-135.0,120.0,0.4474,0.5526,sbro,2008-03-15
mississippist,georgia,-1000.0,700.0,10.0,0.8791,0.1209,sbro,2008-03-15
missvalleyst,jacksonstate,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-15
morganstate,coppinstate,-275.0,235.0,6.5,0.7107,0.2893,sbro,2008-03-15
nevada_las_vegas,brigham_young,-120.0,100.0,1.0,0.5217,0.4783,sbro,2008-03-15
newmexicostate,boisestate,-300.0,250.0,7.5,0.7241,0.2759,sbro,2008-03-15
northcarolina,virginiatech,-1100.0,750.0,11.0,0.8863,0.1137,sbro,2008-03-15
temple,st_josephs,120.0,-140.0,133.5,0.438,0.562,sbro,2008-03-15
tennessee,arkansas,-265.0,225.0,6.0,0.7023,0.2977,sbro,2008-03-15
texas,oklahoma,-260.0,220.0,5.5,0.698,0.302,sbro,2008-03-15
ucla,stanford,-175.0,155.0,3.5,0.6187,0.3813,sbro,2008-03-15
wisconsin,michiganstate,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-15
arkansas,georgia,-400.0,320.0,8.5,0.7706,0.2294,sbro,2008-03-16
northcarolina,clemson,-240.0,200.0,5.0,0.6792,0.3208,sbro,2008-03-16
northwesternst,texasarlington,115.0,-135.0,150.5,0.4474,0.5526,sbro,2008-03-16
texas,kansas,245.0,-290.0,140.0,0.2805,0.7195,sbro,2008-03-16
wisconsin,illinois,-340.0,280.0,7.0,0.746,0.254,sbro,2008-03-16
arizonastate,alabamastate,-2600.0,1500.0,17.0,0.9391,0.0609,sbro,2008-03-18
creighton,rhodeisland,-290.0,240.0,6.5,0.7166,0.2834,sbro,2008-03-18
floridastate,akron,-315.0,265.0,7.0,0.7348,0.2652,sbro,2008-03-18
massachusetts,stephenaustin,-470.0,390.0,9.0,0.8016,0.1984,sbro,2008-03-18
minnesotau,maryland,-155.0,135.0,2.5,0.5882,0.4118,sbro,2008-03-18
mountstmarys,coppinstate,-375.0,315.0,7.0,0.7662,0.2338,sbro,2008-03-18
nevada,houstonu,-190.0,160.0,4.0,0.6301,0.3699,sbro,2008-03-18
ohio,brown,-410.0,340.0,8.5,0.7796,0.2204,sbro,2008-03-18
ohiostate,ncasheville,-1600.0,1000.0,14.5,0.9119,0.0881,sbro,2008-03-18
olddominion,rider,-255.0,215.0,6.0,0.6935,0.3065,sbro,2008-03-18
soillinois,oklahomastate,-200.0,170.0,4.5,0.6429,0.3571,sbro,2008-03-18
syracuse,robertmorris,-1600.0,1000.0,14.0,0.9119,0.0881,sbro,2008-03-18
virginia,richmond,-725.0,575.0,11.5,0.8557,0.1443,sbro,2008-03-18
bradley,cincinnati,-270.0,230.0,6.0,0.7066,0.2934,sbro,2008-03-19
california,newmexico,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-19
dayton,clevelandstate,-310.0,260.0,7.0,0.7313,0.2687,sbro,2008-03-19
florida,sandiegostate,-740.0,590.0,10.0,0.8587,0.1413,sbro,2008-03-19
illinoisstate,utahstate,-375.0,315.0,8.0,0.7662,0.2338,sbro,2008-03-19
mississippi,calsantabarb,-900.0,650.0,12.0,0.871,0.129,sbro,2008-03-19
nebraska,nccharlotte,-415.0,345.0,8.5,0.7819,0.2181,sbro,2008-03-19
tulsa,miamiohio,-215.0,185.0,4.5,0.6605,0.3395,sbro,2008-03-19
utep,utahu,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-19
vacommonwealth,uab,-230.0,190.0,5.0,0.669,0.331,sbro,2008-03-19
virginiatech,morganstate,-2000.0,1200.0,16.0,0.9253,0.0747,sbro,2008-03-19
washingtonu,valparaiso,-525.0,425.0,9.5,0.8152,0.1848,sbro,2008-03-19
arizonastate,soillinois,-270.0,230.0,6.0,0.7066,0.2934,sbro,2008-03-20
brigham_young,texasa_m,100.0,-120.0,128.5,0.4783,0.5217,sbro,2008-03-20
duke,belmont,-4500.0,2250.0,20.0,0.9583,0.0417,sbro,2008-03-20
kansas,portlandstate,-5000.0,2500.0,21.0,0.9623,0.0377,sbro,2008-03-20
marquette,kentucky,-275.0,235.0,6.0,0.7107,0.2893,sbro,2008-03-20
michiganstate,temple,-300.0,250.0,6.5,0.7241,0.2759,sbro,2008-03-20
nevada_las_vegas,kentstate,105.0,-125.0,128.5,0.4675,0.5325,sbro,2008-03-20
notredame,georgemason,-300.0,250.0,6.5,0.7241,0.2759,sbro,2008-03-20
pittsburgh,oralroberts,-415.0,345.0,8.0,0.7819,0.2181,sbro,2008-03-20
purdue,baylor,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-20
southern_california,kansasstate,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-20
stanford,cornell,-3000.0,1500.0,15.5,0.9393,0.0607,sbro,2008-03-20
syracuse,maryland,-205.0,175.0,4.5,0.6489,0.3511,sbro,2008-03-20
ucla,missvalleyst,-19000.0,9500.0,31.5,0.9896,0.0104,sbro,2008-03-20
washingtonstate,winthrop,-525.0,425.0,9.5,0.8152,0.1848,sbro,2008-03-20
westvirginia,arizona,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-20
wisconsin,csfullerton,-900.0,650.0,12.0,0.871,0.129,sbro,2008-03-20
xavier,georgia,-475.0,395.0,9.0,0.8035,0.1965,sbro,2008-03-20
butler,southalabama,-175.0,155.0,3.5,0.6187,0.3813,sbro,2008-03-21
clemson,villanova,-245.0,205.0,5.5,0.6841,0.3159,sbro,2008-03-21
connecticut,sandiego,-900.0,650.0,11.5,0.871,0.129,sbro,2008-03-21
drake,westernkentucky,-205.0,175.0,4.0,0.6489,0.3511,sbro,2008-03-21
florida,creighton,-460.0,380.0,9.0,0.7977,0.2023,sbro,2008-03-21
georgetown,mdbaltimoreco,-3000.0,1500.0,16.5,0.9393,0.0607,sbro,2008-03-21
gonzaga,davidson,100.0,-120.0,140.5,0.4783,0.5217,sbro,2008-03-21
indianau,arkansas,-130.0,110.0,2.0,0.5427,0.4573,sbro,2008-03-21
louisville,boisestate,-1600.0,1000.0,14.0,0.9119,0.0881,sbro,2008-03-21
memphisu,texasarlington,-10000.0,5000.0,26.0,0.9806,0.0194,sbro,2008-03-21
miamiflorida,saintmarysca,100.0,-120.0,137.5,0.4783,0.5217,sbro,2008-03-21
mississippist,oregon,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-21
northcarolina,mountstmarys,-10000.0,5000.0,25.0,0.9806,0.0194,sbro,2008-03-21
oklahoma,st_josephs,-120.0,100.0,1.0,0.5217,0.4783,sbro,2008-03-21
tennessee,american,-4000.0,2000.0,19.5,0.9535,0.0465,sbro,2008-03-21
texas,austinpeay,-1500.0,950.0,15.0,0.9078,0.0922,sbro,2008-03-21
vanderbilt,siena,-295.0,245.0,6.5,0.7204,0.2796,sbro,2008-03-21
duke,westvirginia,-195.0,165.0,4.0,0.6366,0.3634,sbro,2008-03-22
kansas,nevada_las_vegas,-1400.0,900.0,13.5,0.9032,0.0968,sbro,2008-03-22
massachusetts,akron,-250.0,210.0,5.5,0.6889,0.3111,sbro,2008-03-22
pittsburgh,michiganstate,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-22
stanford,marquette,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-22
ucla,texasa_m,-600.0,475.0,9.5,0.8313,0.1687,sbro,2008-03-22
washingtonstate,notredame,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-22
wisconsin,kansasstate,-215.0,185.0,5.0,0.6605,0.3395,sbro,2008-03-22
xavier,purdue,-155.0,135.0,3.0,0.5882,0.4118,sbro,2008-03-22
georgetown,davidson,-210.0,180.0,4.5,0.6548,0.3452,sbro,2008-03-23
louisville,oklahoma,-325.0,275.0,7.0,0.7414,0.2586,sbro,2008-03-23
memphisu,mississippist,-525.0,425.0,9.5,0.8152,0.1848,sbro,2008-03-23
northcarolina,arkansas,-625.0,500.0,9.5,0.838,0.162,sbro,2008-03-23
tennessee,butler,-215.0,185.0,4.5,0.6605,0.3395,sbro,2008-03-23
texas,miamiflorida,-300.0,250.0,6.0,0.7241,0.2759,sbro,2008-03-23
villanova,siena,-230.0,190.0,5.0,0.669,0.331,sbro,2008-03-23
westernkentucky,sandiego,-235.0,195.0,5.0,0.6742,0.3258,sbro,2008-03-23
bradley,ohio,-245.0,205.0,5.5,0.6841,0.3159,sbro,2008-03-24
houstonu,valparaiso,-425.0,355.0,8.0,0.7865,0.2135,sbro,2008-03-24
illinoisstate,dayton,-275.0,235.0,6.0,0.7107,0.2893,sbro,2008-03-24
mississippi,nebraska,-230.0,190.0,5.0,0.669,0.331,sbro,2008-03-24
ohiostate,california,-325.0,275.0,7.0,0.7414,0.2586,sbro,2008-03-24
tulsa,utahu,-160.0,140.0,3.0,0.5963,0.4037,sbro,2008-03-24
virginia,olddominion,-400.0,330.0,8.0,0.7748,0.2252,sbro,2008-03-24
virginiatech,uab,-360.0,300.0,8.0,0.7579,0.2421,sbro,2008-03-24
arizonastate,florida,-165.0,145.0,3.5,0.604,0.396,sbro,2008-03-25
syracuse,massachusetts,-325.0,275.0,7.0,0.7414,0.2586,sbro,2008-03-25
