favored_team,underdog_team,favored_novig_prob,source,date
Ohio State,TCU,0.564,Vegas_moneyline,2026-03-19
Nebraska,Troy,0.872,Vegas_moneyline,2026-03-19
Louisville,South Florida,0.664,Vegas_moneyline,2026-03-19
Wisconsin,High Point,0.8,Vegas_moneyline,2026-03-19
Duke,Siena,0.973,Vegas_moneyline,2026-03-19
Vanderbilt,McNeese,0.84,Vegas_moneyline,2026-03-19
Michigan State,North Dakota State,0.912,Vegas_moneyline,2026-03-19
Arkansas,Hawaii,0.899,Vegas_moneyline,2026-03-19
North Carolina,VCU,0.564,Vegas_moneyline,2026-03-19
Michigan,Howard,0.976,Vegas_moneyline,2026-03-19
BYU,Texas,0.572,Vegas_moneyline,2026-03-19
Saint Mary's,Texas A&M,0.593,Vegas_moneyline,2026-03-19
Illinois,Pennsylvania,0.954,Vegas_moneyline,2026-03-19
Georgia,Saint Louis,0.572,Vegas_moneyline,2026-03-19
Gonzaga,Kennesaw State,0.936,Vegas_moneyline,2026-03-19
Houston,Idaho,0.958,Vegas_moneyline,2026-03-19
Kentucky,Santa Clara,0.593,Vegas_moneyline,2026-03-19
Texas Tech,Akron,0.741,Vegas_moneyline,2026-03-19
Arizona,Long Island University,0.981,Vegas_moneyline,2026-03-19
Virginia,Wright State,0.931,Vegas_moneyline,2026-03-19
Iowa State,Tennessee State,0.958,Vegas_moneyline,2026-03-19
Alabama,Hofstra,0.853,Vegas_moneyline,2026-03-19
Utah State,Villanova,0.532,Vegas_moneyline,2026-03-19
Iowa,Clemson,0.551,Vegas_moneyline,2026-03-19
St. John's,Northern Iowa,0.822,Vegas_moneyline,2026-03-19
UCLA,UCF,0.686,Vegas_moneyline,2026-03-19
Purdue,Queens,0.958,Vegas_moneyline,2026-03-19
Kansas,California Baptist,0.887,Vegas_moneyline,2026-03-19
UConn,Furman,0.946,Vegas_moneyline,2026-03-19
Miami,Missouri,0.543,Vegas_moneyline,2026-03-19
